NSKV;UWI;LAYER;OBJ;KUST;SIMVOL_07;SIMVOL_08;SIMVOL_09;SIMVOL_10;EKSPLDATE;BEGDATE;INJDATE;W_07;W_08;W_09;W_10;D_LIQ_07;D_LIQ_08;D_LIQ_09;D_LIQ_10;INJ_07;INJ_08;INJ_09;INJ_10;P_ZAB_PPD_07;P_ZAB_PPD_08;P_ZAB_PPD_09;P_ZAB_PPD_10;WATINJ1;WATINJ4;ACCLIQ4;ACCOIL4;ACCWAT4;P_ZAB_VNK_07;P_ZAB_VNK_08;P_ZAB_VNK_09;P_ZAB_VNK_10;PP_VNK_07;PP_VNK_08;PP_VNK_09;PP_VNK_10;PP_07;PP_08;PP_09;PP_10;STOP_DATE;STOP_REASON;START_DATE;GTM_DATE;GTM_DESC;FRAC_DATE;WD_07;WD_08;WD_09;WD_10;PBUF_07;PBUF_08;PBUF_09;PBUF_10;PZAB_07;PZAB_08;PZAB_09;PZAB_10;MAX_PZAB;MAX_PZAB_VNK;D_MAX_PZAB;MAX_PP;MAX_PP_VNK;D_MAX_PP;TOP_PERF_LAYER_07;TOP_PERF_LAYER_08;TOP_PERF_LAYER_09;TOP_PERF_LAYER_10;ABS_DEPTH_OWC;LAYER_OIL_DENSITY;WATER_DENSITY;HEFGISOIL;HEFGISOILWAT;HEFGISWAT;HEFGISNYA;D_SHT_07;D_SHT_08;D_SHT_09;D_SHT_10;FREQ_07;FREQ_08;FREQ_09;FREQ_10;D_GAS_07;D_GAS_08;D_GAS_09;D_GAS_10;LAYER_WAT_DYN_VISCOSITY;LAYER_OIL_DYN_VISCOSITY;OIL_VOLUME_FACTOR;POROSITY;LAYER_OIL_COMPRESSIBILITY;WATER_COMPRESSIBILITY;ROCK_COMPRESSIBILITY;BUBBLE_POINT_PRESSURE;INITIAL_LAYER_PRESSURE;GAS_FACTOR;GAS_DENSITY;ATMOSPH_OIL_DENSITY;INJ_WAT_DENSITY;PUMP_DEPTH_07;PUMP_DEPTH_08;PUMP_DEPTH_09;PUMP_DEPTH_10;PUMP_DEPTH_ABS_07;PUMP_DEPTH_ABS_08;PUMP_DEPTH_ABS_09;PUMP_DEPTH_ABS_10
36;;;;2;84;84;84;84;;;;56.2;63.1;53.5;52.2;95.0;93.0;117.0;124.0;;;;;;;;;0.0;0.0;40067.583;22036.838;18030.745;67.19069811;68.77965469;72.18189201;73.26797304;66.78752;70.13601;73.50985;74.59912;40.47;43.39;47.36;48.53;;;;;;;20.0;30.5;31.0;30.0;24.0;25.0;24.0;24.0;66.27988307;67.85401017;71.27687981;72.3657548;132.7391136;133.6499286;;49.2;75.26912;;2558.05;2558.05;2558.05;2558.05;2568;0.794;1.01;3.39;0.54;;;;;;;55.3;59.0;60.0;59.4;1.801677;1.485885;2.35569;2.566422;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3458.87;3458.87;3458.87;3458.87;2280.5;2280.5;2280.5;2280.5
37;;;;2;84;84;84;84;;;;58.8;72.9;62.0;38.35;16.0;19.0;18.0;21.0;;;;;;;;;0.0;0.0;7647.225;1615.427;6031.798;52.16033834;52.82397313;52.19161018;50.91292733;50.52196251;50.0683127;49.04595688;49.879561;34.0;33.0;32.4;34.15;;;;;;;30.0;30.5;25.0;30.0;24.5;25.0;24.0;24.0;45.35408922;45.79265417;45.33428138;44.43310929;45.81811044;52.36560034;;35.83;50.0983127;;2494.1;2494.1;2494.1;2494.1;2568;0.794;1.01;4.94;0.18;;;;;;;52.8;52.7;52.5;52.6;0.285447;0.222972;0.296157;0.560592;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3445.93;3445.93;3445.93;3445.93;2388.61;2388.61;2388.61;2388.61
38;;;;2;84;84;84;84;;;;8.0;16.0;12.0;20.3;143.0;137.0;144.0;145.0;;;;;;;;;0.0;0.0;36800.008;30375.271;6424.737;84.42015445;85.091231;85.35900191;86.04000118;;;;;;;;;;;;;;;30.0;29.8;30.9;30.0;24.5;25.0;24.0;24.0;83.26813685;83.9146758;84.19471551;84.85025702;84.85025702;86.04000118;;;;;2553.8;2553.8;2553.8;2553.8;2568;0.794;1.01;5.91;0.08;;;;;;;;;;;5.696394;4.982853;5.486835;5.003865;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3795.0;3795.0;3795.0;3795.0;2431.82;2431.82;2431.82;2431.82
39;;;;2;84;84;84;84;;;;14.0;12.0;12.0;33.8;83.0;96.0;99.0;105.0;;;;;;;;;0.0;0.0;15497.64;12660.379;2837.261;103.8831871;64.1112389;59.82851863;60.23268321;61.7151844;51.8157852;50.0357852;47.31423648;52.29;42.44;40.66;37.4;;;;;;;19.9;30.5;31.0;29.9;24.5;25.0;24.0;24.0;103.1529105;63.38478978;59.10206951;59.46451412;124.8240646;125.5543413;;83.82;93.2451844;;2559.14;2559.14;2559.14;2559.14;2568;0.794;1.01;2.03;;0.09;1.17;;;;;52.0;55.0;56.0;56.0;3.090702;3.657924;3.772215;3.009714;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3885.14;3885.14;3885.14;3885.14;2453.65;2453.65;2453.65;2453.65
40;;;;2;84;84;84;84;;;;4.2;69.9;37.6;48.4;130.0;93.0;94.0;96.0;;;;;;;;;0.0;0.0;27604.437;22610.238;4994.199;46.58912867;64.29973968;87.95166668;87.67571586;;66.7181258;;;;52.0;;;;;;;;;30.0;27.9;31.0;29.8;24.5;22.0;22.5;24.0;45.5901071;63.12417958;86.86289797;86.55792712;87.32673321;88.41550192;;62.5;;;2555.56;2555.56;2555.56;2555.56;2568;0.794;1.01;4.51;;;;;;;;;53.0;;;5.392434;1.212066;2.539749;2.144856;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3810.0;3810.0;3810.0;3810.0;2412.25;2412.25;2412.25;2412.25
4;;;;1;84;84;84;84;;;;72.6;74.0;66.3;73.6;129.0;127.0;126.0;124.0;;;;;;;;;0.0;0.0;345971.783;233426.723;112545.06;38.41507812;38.58963074;37.86299671;38.00396932;38.42664826;38.62980944;37.27742293;36.53033482;28.0;28.17;27.0;26.08;;;;;;;30.0;30.5;31.0;30.0;23.5;24.0;22.0;23.0;36.31947966;36.48736738;35.79739027;35.90361022;36.86270399;38.61282087;;29.69;38.60980944;;2545.96;2545.96;2545.96;2545.96;2568;0.794;1.01;-4.43;;;;32.0;32.0;32.0;32.0;48.9;48.1;48.2;48.2;2.190657;2.046482;2.63165;2.028889;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2991.87;2991.87;2991.87;2991.87;2458.34;2458.34;2458.34;2458.34
51;;;;1;102;102;102;102;;;;;;;;;;;;169.18;28.53;315.49;244.6;424.54;386.54;395.54;443.54;178511.0;200372.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;30.0;31.0;31.0;30.0;155.0;117.0;126.0;174.0;;;;;;;;;;;2314.0;2314.0;2314.0;2314.0;2568;0.794;1.01;;;1.97;;;;;;;;;;;;;;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;;;;;;;;
52;;;;1;84;84;84;84;;;;26.65;26.6;8.0;35.95;31.0;37.0;33.0;37.0;;;;;;;;;0.0;0.0;79113.657;56936.474;22177.183;50.04381292;44.51674619;43.34250949;44.34281437;45.38652611;44.71520883;43.31518216;43.63153944;35.0;34.33;33.42;33.0;;;;;;;30.0;30.5;31.0;30.0;23.0;24.0;22.0;23.0;48.315138;42.78829051;41.69561109;42.57336081;48.38152981;50.11020473;;36.69;45.09520883;;2547.7;2547.7;2547.7;2547.7;2568;0.794;1.01;0.34;;;;;;;;50.0;51.0;51.0;51.0;0.984555;1.175907;1.314576;1.02612;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3177.93;3177.93;3177.93;3177.93;2446.03;2446.03;2446.03;2446.03
53;;;;1;84;84;84;84;;;;15.5;26.5;17.0;21.2;12.0;11.0;12.0;13.0;;;;;;;;;0.0;0.0;26904.864;23188.837;3716.027;49.91854205;50.61110396;49.68268836;49.78959571;48.91698496;47.55749248;47.25478144;54.90861158;36.71;35.0;35.0;42.52;;;;;;;30.0;30.5;31.0;29.9;23.5;24.0;22.0;23.0;49.06292773;49.7309218;48.82372388;48.92125078;49.7309218;50.02274373;;42.52;54.90861158;;2557.66;2557.66;2557.66;2557.66;2568;0.794;1.01;0.37;;;;;;;;51.5;53.1;58.6;60.0;0.439059;0.350064;0.431256;0.443547;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3289.0;3289.0;3289.0;3289.0;2420.48;2420.48;2420.48;2420.48
54;;;;1;84;84;84;84;;;;50.35;12.8;29.0;27.1;18.0;22.0;17.0;15.0;;;;;;;;;0.0;0.0;83537.314;70628.968;12908.346;46.54355419;38.07254488;42.05932643;46.61582905;46.89982508;39.43971221;43.63235744;43.32630646;36.77;30.22;34.02;33.76;;;;;;;26.0;30.5;31.0;30.0;22.0;24.0;22.0;23.0;44.8138737;36.49826731;40.41800419;44.98237007;45.06368651;46.69714548;;55.83;65.44235744;;2548.84;2548.84;2548.84;2548.84;2568;0.794;1.01;5.25;;;;;;;;53.0;54.5;53.1;53.5;0.386988;0.830637;0.522597;0.473484;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;2783.0;2783.0;2783.0;2783.0;2455.79;2455.79;2455.79;2455.79
55;;;;1;84;84;84;84;;;;43.5;46.2;30.05;54.7;12.0;14.0;14.0;14.0;;;;;;;;;0.0;0.0;51925.864;37537.729;14388.135;49.18927634;58.04088878;56.90502645;58.1139461;49.63715412;48.65199222;47.67453468;48.46907514;36.72;35.65;35.18;35.2;;;;;;;30.0;30.5;31.0;30.0;23.5;24.0;23.0;23.0;46.91521078;55.75188747;54.70536307;55.77792483;55.81558167;57.52983986;;39.09;52.00715412;;2542.39;2542.39;2542.39;2542.39;2568;0.794;1.01;8.19;;;;;;;;52.7;51.6;52.6;51.1;0.293556;0.326145;0.424014;0.274584;0.4;1.69;1.111;19.3;12.6;4.5;5.26;73.9;270.2;51;0.838;0.85;1;3203.41;3203.41;3203.41;3203.41;2422.53;2422.53;2422.53;2422.53
